CH_1,CH_2
Emily Waltham,Jack Geller
Ned Morse,Ross
Frank Jr. Jr.,Leslie Buffay
Erica Bing,Eric
Carlos,Emilio
Mr. Heckles,Eric (photographer)
Franny,Monica
Uncle Murray,Eric
Nina Bookbinder,Jen
Mrs Adelman,Susan Bunch
Gina Tribbiani,Tribbiani Sisters
Jack Geller,Robert
Chandler Buffay,Phoebe
Hayley,Joey
Aunt Lillian,Eric
Mike Hannigan,Stu
Joey Tribbiani Sr.,Robert
Mary-Therese Tribbiani,Gina Tribbiani
Ginger,Chandler
Cassie,Phoebe
Emily Waltham's second husband,Mr. Waltham
Carol Willick,Susan Bunch
Mr. Waltham,Joey
Aunt Lisa,Ben Geller
Emily Waltham's cousin,Stephen Waltham
Amy Greene,Rachel
The Chick and The Duck,Ross
Hayley,Gunther
Don,Phoebe
Gary Litman,Chandler
Benjamin Hobart,Charlie Wheeler
Frank Buffay Jr.,Frank Buffay Sr.
Mr. Heckles,Paolo's cat
Charlie Wheeler,Albert
Jessica Ashley,Rachel
Julie Graff,Chandler
Aunt Lisa,Uncle Dan
Erin,Joey
The Kids,The Triplets
Alan,Chandler
Frances,Joey
Mike Hannigan,Chandler Buffay
Mona,Emma Geller-Greene
Charlie Wheeler,Angela Delveccio
Gavin Mitchell,Lauren
Paolo,Rachel
Ida Greene,Rachel
Emma Geller-Greene,David
Mrs. K.,Rachel
Isabella Rossellini,Earl
Missy Goldberg,Stu
Mr. Zelner,Rachel
Sandra Greene,Chloe
Kim,Joanna
Muriel,Emma Geller-Greene
Cailin,Rachel
Julie,Tom
Dr. Franzblau,Carol Willick
Estelle Leonard,Rachel
Stevens siblings' father,Stevens siblings' mother
Lily Buffay,Mike Hannigan
Sandra Greene's father,Rachel
Bobby Corso,Tribbiani Sisters
Ursula Buffay,Chandler
Stephanie,Phoebe
Charlie Wheeler,Joey
Elizabeth Hornswoggle,Peter
Phoebe Abbott,Ursula Buffay
Tina,Michael
Mike Hannigan's sister,Theodore Hannigan
The next next Martin Scorsese,Monica
Tribbiani Sisters,Mary
Paul Stevens,Ross
Chandler Buffay,Frank Buffay Jr.
Mark Robinson,Joanna
Wendy,Chandler
Stephen Waltham,Ross
Chappy,Phoebe
Clifford Burnett,Rachel
Cousin Frannie,Stu
Ned Morse,Joey
Ursula Buffay,Jamie
Julie Coreger,Julie
Luisa Gianetti,Rachel
Mary Ellen Jenkins,Joey
Erica Bing,Judy Geller
Unnamed Season 7 Characters,Sarah
Carlos,Tony (Allesandro's employee)
Julio (poet),Phoebe
Ben Geller,Rachel
Precious,Joey
Mike Hannigan,Silvia
Paolo's cat,Rachel
Stuart,Chandler
Janine Lecroix,Ross
Leslie (casting director),Leslie Buffay
Dr. Harad,Arthur
Joshua Burgin,Chandler
Joshua Burgin,Joshua Burgin's ex-wife
Bonnie,Rachel
Jeanine,Wendy
Leslie Buffay,Phoebe Abbott
Nonna,Mary
Aaron Goralnik,Rachel
Gunther,Rachel
Ralph Lauren,Rachel
The Triplets,Leslie
Alan,Rachel
Carol Willick,Mrs. Bunch
Mrs. Braverman,Chandler
Parker,Chandler
Paul the Wine Guy,Phoebe
Tag Jones,Mr. Zelner
Julie Graff,Julie
Aunt Cheryl,Rachel
Sandra Greene,Monica
Elizabeth Stevens,Ms. Stevens
Dr. Baldharan,Monica
Mr. Simon,Rick
Dr. Robert Bobby,Bob
Arthur,Chandler
Charles Bing,Eric
Unnamed Season 7 Characters,Roger
Emily Waltham's second husband,Ross
Russ,David
Dr. Schiff,Rachel
Maria,Ross
Mackenzie,Joey
Mr. Waltham,Ross
Aurora,Ethan
Charla Nichols,Stu
Janice Litman-Goralnik,Chandler
The Chick and The Duck,Monica
Bobby Rush,Bob
Gunther,Dave
Uncle Murray,Carol Willick
Isaac,Rachel
Elizabeth Hornswoggle,Ross
Angela Delveccio,Bob
Amanda (Ross' date),Chandler
Michelle Burke,Michelle
Mr. Bunch,Joey
Gary Litman,Mr. Heckles
Molly,Ross
The Housekeeper,Rachel
Mozzarella,Rachel
